row_ID,mz_rt,mz,rt,40TT_10M2_neq_16,FreshJuice1_neq_24,FreshJuice3_neg_64,40TT_10M5_neg_40,40TT_10M4_neg_26,FreshJuice4_neg_38,FreshJuice6_neg_45,FreshJuice5_neg_73,40TT_10M6_neg_72,40TT_10M3_neg_46,FreshJuice2_neg_54,MEF_SS6_neg_75,MEF_SS4_neg_68,MEF_SS1_neg_56,MEF_SS2_neg_34,MEF_SS3_neg_52,MEF1_neg_41,MEF2_neg_60,QC11_neg_78,QC4_neg_28,QC10_neg_74,QC2_neg_13,MEF4_neg_29,MEF5_neg_50,MEF3_neg_44,QC9_neg_67,QC5_neg_35,QC6_neg_43,QC3_neq_20,QC7_neg_51,QC8_neg_59,QC12_neg_79,QC1_neg_12
3355,514.2225_2.6604,514.222517,2.6604242,10575.58,12798.942,11564.796,9614.943,10514.576,14289.715,11334.44,11126.879,11478.465,11829.416,12628.792,NA,NA,NA,1263.1853,NA,3942.49,6851.3022,8600.697,8307.61,10080.11,7984.614,7461.318,8976.219,9500.037,7705.247,9436.678,9270.262,10143.826,9475.874,9119.744,9560.252,9903.278
2910,515.0715_2.3861,515.0715369,2.386077,10761.368,17714.416,19171.975,7888.344,9318.9795,18553.82,18389.818,18573.97,7573.372,6839.0786,19306.6,2611.25,3739.9094,1956.7751,2271.6863,1837.5803,2184.1604,5289.6265,7856.45,7762.482,9621.49,7822.2812,5765.7554,6073.431,6267.121,10414.666,8958.737,7799.9985,8513.309,10875.487,7540.4604,8577.443,6459.9194
2470,515.0798_2.178,515.0798487,2.1779633,9524.159,12653.722,11570.585,9281.046,9832.511,12752.174,13308.12,10300.885,11643.5205,8854.878,12886.555,2520.5425,1816.8204,2460.9172,2053.96,2717.6736,1979.9066,4026.1006,9814.732,8345.49,8289.532,9881.271,4146.1123,4929.261,5324.5703,8037.7393,7521.106,8275.956,8591.479,8681.624,10402.189,9463.042,9307.319
3748,515.1194_2.9832,515.1193606,2.9831872,9685.265,17221.346,9673.124,9747.178,9583.886,18956.736,16512.855,17781.75,10480.913,10750.183,14891.811,5388.4185,5413.5864,4860.7417,5417.711,5033.0654,4292.844,6483.0405,11293.599,9661.134,8400.04,9498.614,7650.581,7986.093,8037.337,8581.064,11179.03,7630.3906,9121.198,10573.099,10994.178,9151.64,9128.31
653,515.1247_0.3234,515.1247244,0.32336918,6750.6235,8826.504,9700.894,6556.0684,5755.4546,8526.638,10808.559,10766.664,7507.546,5348.0015,9803.327,8611.095,10839.379,7866.7505,8120.2056,10738.244,8679.926,6747.779,7069.841,6627.726,8043.464,8931.462,8898.599,7433.7905,9562.936,7762.998,7490.4,8131.4634,7767.1504,6999.358,7050.9497,7113.837,7157.8345
1636,515.1251_1.1032,515.1250715,1.1032118,25028.19,26080.8,24027.027,23178.955,24476.908,23327.326,23920.549,24484.3,22253.994,20708.682,22312.652,23914.193,24994.09,15993.99,20923.46,23117.662,19610.307,21993.443,19630.25,24197.723,21893.72,23561.219,19362.637,20841.703,23104.465,22001.766,23371.762,22054.637,24446.723,22044.203,21903.596,24460.842,25218.977
1826,515.1251_1.5634,515.1251235,1.5633565,16181.221,26922.432,22100.92,16957.588,16594.6,26114.682,23340.162,25424.924,16922.223,17168.918,24944.395,17902.287,18543.78,18076.734,17959.195,18188.928,16939.703,15976.48,19707.771,18366.188,15800.726,17313.38,17050.652,19304.021,17667.734,18708.395,17565.896,16942.725,17394.127,16989.084,18370.617,18664.744,17415.217
2330,515.1402_2.0627,515.1402156,2.0626674,23536.766,28007.922,26769.184,21135.234,22772.092,24624.666,26010.375,26419.045,22040.299,19711.678,24117.703,8958.83,10037.973,9097.337,9633.767,11209.541,9501.775,17447.268,21171.453,18231.05,18698.076,19597.615,17597.895,19787.701,16261.69,19247.467,19751.568,20265.982,21307.035,20070.908,19354.32,19803.965,19324.312
2070,515.1402_1.7862,515.1402463,1.786186,10715.453,14224.998,16880.172,11743.05,11038.927,13863.816,11727.482,11802.923,11839.91,9977.094,14031.361,7559.915,7060.7627,6731.37,6985.277,7164.572,9304.748,9453.822,10021.286,13349.49,12041.306,12179.445,11948.779,8630.146,9780.012,10542.228,9839.607,9620.517,10837.288,11318.461,9818.249,10315.963,9570.84
3104,515.1405_2.4686,515.1405001,2.4685807,10738.408,13713,14811.04,11770.126,8818.802,12586.384,13982.915,16453.441,14082.396,9496.322,13044.048,5315.483,7178.2227,5370.003,6598.9883,6123.059,5656.844,8620.515,10844.04,11157.895,9279.662,8161.775,9878.69,8834.66,8688.868,10442.484,12219.514,11252.367,9614.13,11556.186,8860.724,12265.326,9466.927
